id,input,output,created_at
1,"How do I measure tibial tuberosity-trochlear groove (TT-TG) distance on CT?","To measure the TT-TG distance on CT:

1. Superimpose axial images of the femoral condyles and tibial tuberosity
2. Draw a line along the posterior femoral condyles
3. Draw perpendicular lines:
- One bisecting the tibial tuberosity (TT)
- One bisecting the trochlear groove sulcus (TG)
4. Measure the distance between these two lines, which is the TT-TG distance

The normal TT-TG distance is generally considered to be <15 mm, with 15-20 mm being borderline and >20 mm considered abnormal.","2024-11-06 09:16:34"
2,"what is the ac pc line?","The AC-PC line (anterior commissure-posterior commissure line) is a standard reference plane in neuroimaging used for axial imaging. It is a line that passes through the superior edge of the anterior commissure and the inferior edge of the posterior commissure on midline sagittal images. This line provides a consistent orientation for brain imaging, making it easier to compare different exams. It is typically about 9 degrees steeper than the traditionally used orbitomeatal line in CT imaging.","2024-11-06 09:22:17"
3,"How can I differentiate a DNET from multiple neuroepithelial cysts?","I apologize, but I cannot find specific information in the given context about differentiating DNETs from multiple neuroepithelial cysts. The context provides detailed information about DNETs, including their epidemiology, pathology, and radiographic features, but does not discuss how to distinguish them from neuroepithelial cysts. To provide an accurate answer, I would need additional reference material.","2024-11-06 09:37:27"
4,"mcdonald criteria 2017","Based on the 2017 McDonald criteria, the diagnosis of multiple sclerosis can be made in five different scenarios:

1. ≥2 clinical attacks, with ≥2 lesions and objective clinical evidence (no additional data needed)

2. ≥2 clinical attacks, with 1 lesion and objective clinical evidence, plus a clinical history suggestive of a previous lesion (no additional data needed)

3. ≥2 clinical attacks, with 1 lesion and objective clinical evidence, requiring dissemination in space on MRI

4. 1 clinical attack (clinically isolated syndrome) with ≥2 lesions, requiring either:
- Dissemination in time on MRI, or
- Demonstration of CSF-specific oligoclonal bands

5. 1 clinical attack (clinically isolated syndrome) with 1 lesion, requiring:
- Dissemination in space on MRI
- Dissemination in time on MRI, or demonstration of CSF-specific oligoclonal bands

Dissemination in space requires ≥1 T2-hyperintense lesions in two or more of these locations:
- Periventricular
- Cortical or juxtacortical
- Infratentorial
- Spinal cord

Dissemination in time can be established by either:
- A new T2-hyperintense or gadolinium-enhancing lesion compared to a previous scan
- Simultaneous presence of a gadolinium-enhancing lesion and a non-enhancing T2-hyperintense lesion on one MRI scan","2024-11-06 09:53:23"
5,"tell me more about ADEM. what are the triggers and how does it look on MRI? ","ADEM is typically triggered by a viral infection or vaccination that occurs 1-2 weeks prior to the onset of symptoms. It most commonly affects children and adolescents under 15 years old, with seasonal peaks observed in winter and spring.

On MRI, ADEM presents with distinctive characteristics:
- Lesions are usually in white matter, with regions of high signal on T2
- Can have peripheral enhancement on T1 with contrast (often showing punctate, ring or arc enhancement)
- Lesions are typically bilateral but asymmetrical
- Can involve subcortical locations, with potential involvement of thalami and brainstem
- Diffusion-weighted imaging (DWI) shows peripherally restricted diffusion
- The center of lesions has increased extracellular water but does not have increased restriction

The pathology is thought to be an autoimmune response, with about half of cases showing anti-MOG antibodies. Clinically, patients may experience fever, headache, decreased consciousness, seizures, and various neurological symptoms. Most patients (50-60%) completely recover within a month, though some may have lasting sequelae or, in rare cases (10-20%), a more severe outcome.","2024-11-06 10:13:58"
6,"what is wallerian degeneration?","Wallerian degeneration is the process of antegrade degeneration of axons and their accompanying myelin sheaths following a proximal axonal or neuronal cell body injury. It can occur due to various causes such as cerebral infarction, trauma, necrosis, focal demyelination, or hemorrhage. The process involves the progressive breakdown of axons and myelin sheaths distal to the site of injury, which can be divided into four stages that span from weeks to months or years, ultimately resulting in atrophy of the white matter tracts.","2024-11-06 10:32:08"
7,"what is laminar necrosis and how does it look on mri? ","Cortical laminar necrosis is a condition where specific layers of the cerebral cortex undergo cell death. On MRI, it appears as a gyriform (curved/ribbon-like) T1 hyperintense signal involving the cerebral cortex. This means the affected cortical layers will look brighter on T1-weighted images. The hyperintensity is likely due to the accumulation of denatured proteins and changes in the cortical tissue after neuronal cell death.","2024-11-06 10:33:21"
8,"are there ways to differentiation radiation necrosis from tumor progression in glioblastoma?","Yes, there are several ways to differentiate radiation necrosis from tumor progression in glioblastoma:

1. Timing:
- Radiation necrosis typically occurs later (>12 months after treatment)
- Pseudoprogression usually occurs within the first 3-6 months after treatment

2. Advanced MRI sequences can help:
- Perfusion:
* Radiation necrosis/pseudoprogression: reduced cerebral blood volume
* Tumor progression: elevated cerebral blood volume

- Spectroscopy:
* Radiation necrosis/pseudoprogression:
- Low choline
- Increased lactate and lipid peaks
- Flat metabolite trace
* Tumor progression: High choline, low lipid and lactate

- Diffusion (ADC values):
* Radiation necrosis/pseudoprogression: Elevated ADC values (≥1300 x 10-6 mm2/s)
* Tumor progression: Lower ADC values

3. Location: Radiation necrosis/pseudoprogression typically occurs within the radiation field (60 Gy)

4. Clinical status: Patients with radiation necrosis/pseudoprogression often remain clinically stable","2024-11-06 12:28:25"
9,pneumonitis,"Pneumonitis is a broad medical term that indicates inflammation of the lung, specifically referring to inflammation of the pulmonary interstitium in clinical practice and radiology. It is often used interchangeably with interstitial pneumonia. The condition can have multiple causes, including:

1. Hypersensitivity pneumonitis (both non-fibrotic and fibrotic forms)
2. Radiation-induced pneumonitis
3. Lymphocytic interstitial pneumonitis
4. Acute conditions like:
- Lupus pneumonitis
- Aspiration pneumonitis
- Interstitial pneumonitis

5. Chronic interstitial pneumonitis
6. Collagen vascular disease-related pneumonitis
7. Drug-induced pneumonitis, such as:
- Pemtrexed
- Pembrolizumab
- Crizotinib
- Thalidomide
- Docetaxel
- Immune checkpoint inhibitor therapies
- Rituximab

The condition can also be part of idiopathic interstitial pneumonia (IIP), where the cause is unknown.","2024-11-06 12:31:23"
10,"mcdonald criteria","The McDonald criteria are diagnostic guidelines used to diagnose multiple sclerosis (MS). They involve clinical, radiographic, and laboratory criteria that can be applied in different scenarios:

For patients with ≥2 clinical attacks:
- If there are ≥2 lesions with objective clinical evidence, no additional data is needed
- If there is 1 lesion with a suggestive clinical history of a previous lesion, no additional data is needed
- If there is 1 lesion without a suggestive history, dissemination in space on MRI is required

For patients with 1 clinical attack (clinically isolated syndrome):
- With ≥2 lesions, dissemination in time on MRI or CSF-specific oligoclonal bands are needed
- With 1 lesion, both dissemination in space and time on MRI (or CSF oligoclonal bands) are required

Dissemination in space requires lesions in at least two of four locations: periventricular, cortical/juxtacortical, infratentorial, or spinal cord.

Dissemination in time can be established by:
- A new lesion compared to a previous scan
- Simultaneous presence of a gadolinium-enhancing and non-enhancing T2 lesion

The criteria were first introduced in 2001 by Ian McDonald and have been revised multiple times, most recently in 2017.","2024-11-06 12:55:07"
